Gene	Score	Prediction	Annotation	Comment	Rank gradR analysis
slr1184	-0,8570097425	Non RNA-binding protein			
sll1515	-0,8570234334	Non RNA-binding protein	gifB		
sll5107	-0,8574401902	Non RNA-binding protein			
sll5107	-0,8574401902	Non RNA-binding protein			
ssr2317	-0,8578279208	Non RNA-binding protein			
slr0303	-0,8588766307	Non RNA-binding protein			
sll1559	-0,8592062715	Non RNA-binding protein			
slr1230	-0,859250809	Non RNA-binding protein			
slr0769	-0,8592601571	Non RNA-binding protein			
slr0144	-0,859282109	Non RNA-binding protein			
slr1755	-0,8595711613	Non RNA-binding protein			
ssr2711	-0,8597249959	Non RNA-binding protein			
slr0682	-0,8602121216	Non RNA-binding protein			
slr0446	-0,860370171	Non RNA-binding protein			
slr1177	-0,8605039148	Non RNA-binding protein			
ssl2921	-0,8616534453	Non RNA-binding protein			
slr1912	-0,8636408373	Non RNA-binding protein			
ssl3093	-0,8642452741	Non RNA-binding protein			
sll1882	-0,864448162	Non RNA-binding protein			
slr2132	-0,8647672633	Non RNA-binding protein			
slr1056	-0,8651868551	Non RNA-binding protein			
slr5017	-0,8662936644	Non RNA-binding protein			
slr5017	-0,8662936644	Non RNA-binding protein			
slr0033	-0,8664082837	Non RNA-binding protein			
ssl1792	-0,8666909127	Non RNA-binding protein			
slr0649	-0,8676229631	Non RNA-binding protein			
sll0191	-0,8678875727	Non RNA-binding protein			
ssl0172	-0,8689809229	Non RNA-binding protein			
slr1247	-0,8695122249	Non RNA-binding protein			
ssl5070	-0,8698158653	Non RNA-binding protein			
slr0569	-0,8706696112	Non RNA-binding protein			
sll0843	-0,870764811	Non RNA-binding protein			
ssr1391	-0,8710089117	Non RNA-binding protein			
slr1077	-0,8710389846	Non RNA-binding protein			
slr1164	-0,8725970732	Non RNA-binding protein			
sll1188	-0,8727248589	Non RNA-binding protein			
sll0414	-0,8730321924	Non RNA-binding protein			
ssl2250	-0,8731749354	Non RNA-binding protein			
sll0252	-0,873799412	Non RNA-binding protein			
sll0788	-0,8745056371	Non RNA-binding protein			
slr5077	-0,8747656402	Non RNA-binding protein			
slr5077	-0,8747656402	Non RNA-binding protein			
sll0710	-0,8758055749	Non RNA-binding protein			
slr5054	-0,8759919186	Non RNA-binding protein			
slr5054	-0,8759919186	Non RNA-binding protein			
slr1160	-0,8760122591	Non RNA-binding protein			
sll1214	-0,8763830856	Non RNA-binding protein			
slr0149	-0,8769185421	Non RNA-binding protein			
ssl1920	-0,8772095521	Non RNA-binding protein			
slr0459	-0,8779124733	Non RNA-binding protein			
slr0400	-0,8780804737	Non RNA-binding protein			
sll0827	-0,8780888352	Non RNA-binding protein			
sll1884	-0,878747104	Non RNA-binding protein			
sll1386	-0,8791877003	Non RNA-binding protein			
slr7102	-0,8799319997	Non RNA-binding protein			
slr7102	-0,8799319997	Non RNA-binding protein			
slr0550	-0,8803710249	Non RNA-binding protein			
sll7029	-0,8809611403	Non RNA-binding protein			
sll7029	-0,8809611403	Non RNA-binding protein			
sll1108	-0,8812422677	Non RNA-binding protein			
slr1095	-0,8820427451	Non RNA-binding protein			
slr1277	-0,8820871554	Non RNA-binding protein			
slr6108	-0,882787988	Non RNA-binding protein			
slr6108	-0,882787988	Non RNA-binding protein			
slr1240	-0,8831193116	Non RNA-binding protein			
slr1364	-0,8835545892	Non RNA-binding protein			
sll0736	-0,8839707038	Non RNA-binding protein			
sll1582	-0,8847348957	Non RNA-binding protein			
slr1448	-0,8857083159	Non RNA-binding protein			
slr1559	-0,8876048515	Non RNA-binding protein			
slr1717	-0,8882428635	Non RNA-binding protein			
sll1340	-0,8903625421	Non RNA-binding protein			
ssr1528	-0,8905442993	Non RNA-binding protein			
ssl1507	-0,8914230594	Non RNA-binding protein			
slr2130	-0,8917598251	Non RNA-binding protein			
slr1196	-0,8921195133	Non RNA-binding protein			
sll0058	-0,8926959743	Non RNA-binding protein			
slr1225	-0,8939779867	Non RNA-binding protein			
sll1865	-0,8944188733	Non RNA-binding protein			
sll0082	-0,8950750083	Non RNA-binding protein			
ssl3580	-0,8953669438	Non RNA-binding protein			
slr0368	-0,8956730168	Non RNA-binding protein			
sll1434	-0,896396678	Non RNA-binding protein			
sll0861	-0,8971299338	Non RNA-binding protein			
sll1985	-0,8977747505	Non RNA-binding protein			
slr0854	-0,8984188979	Non RNA-binding protein			
slr1992	-0,8986406866	Non RNA-binding protein			
slr1986	-0,8990471341	Non RNA-binding protein			
sll1924	-0,8993454417	Non RNA-binding protein			
slr1920	-0,9006195623	Non RNA-binding protein			
sll0057	-0,9010794587	Non RNA-binding protein			
sll1453	-0,9013062822	Non RNA-binding protein			
slr1998	-0,9016496079	Non RNA-binding protein			
slr0583	-0,9031215367	Non RNA-binding protein			
sll1234	-0,9032222299	Non RNA-binding protein			
sll1615	-0,9038032001	Non RNA-binding protein			
slr0013	-0,9040830536	Non RNA-binding protein			
ssl7048	-0,9041935561	Non RNA-binding protein			
ssl7048	-0,9041935561	Non RNA-binding protein			
slr0670	-0,9047741291	Non RNA-binding protein			
slr1378	-0,9051808274	Non RNA-binding protein			
sll6098	-0,905482231	Non RNA-binding protein			
sll6098	-0,905482231	Non RNA-binding protein			
sll1170	-0,9058752929	Non RNA-binding protein			
sll1942	-0,9067587401	Non RNA-binding protein			
ssl5045	-0,9076235867	Non RNA-binding protein			
slr0936	-0,9079262493	Non RNA-binding protein			
sll0482	-0,9080052589	Non RNA-binding protein			
ssl1552	-0,9085313798	Non RNA-binding protein			
ssl1707	-0,9091221171	Non RNA-binding protein			
slr1417	-0,9091753716	Non RNA-binding protein			
ssl0750	-0,909861184	Non RNA-binding protein			
ssl0738	-0,9102814118	Non RNA-binding protein			
slr1037	-0,9106332975	Non RNA-binding protein			
slr1209	-0,91073447	Non RNA-binding protein			
sll1628	-0,9108168907	Non RNA-binding protein			
slr0861	-0,9109611962	Non RNA-binding protein			
slr1395	-0,9115145901	Non RNA-binding protein			
sll0272	-0,9117695171	Non RNA-binding protein			
sll1614	-0,9119574272	Non RNA-binding protein			
slr7094	-0,9120958601	Non RNA-binding protein			
slr7094	-0,9120958601	Non RNA-binding protein			
slr1305	-0,9126084484	Non RNA-binding protein			
slr1467	-0,9128427979	Non RNA-binding protein			
slr6004	-0,9130490935	Non RNA-binding protein			
slr6004	-0,9130490935	Non RNA-binding protein			
sll1939	-0,9131276755	Non RNA-binding protein	FtsZ interacting Ftn6		
slr1666	-0,9133640075	Non RNA-binding protein			
slr1779	-0,9143274249	Non RNA-binding protein			
sll7028	-0,914398597	Non RNA-binding protein			
sll7028	-0,914398597	Non RNA-binding protein			
sll0529	-0,9147217956	Non RNA-binding protein			
sll0237	-0,9152561556	Non RNA-binding protein			
slr1721	-0,915453118	Non RNA-binding protein			
slr7088	-0,9155434168	Non RNA-binding protein			
slr7088	-0,9155434168	Non RNA-binding protein			
sll0405	-0,9156580285	Non RNA-binding protein			
slr7097	-0,91622759	Non RNA-binding protein			
slr0032	-0,9171510168	Non RNA-binding protein			
sll1349	-0,9176861501	Non RNA-binding protein			
sll1018	-0,9186722063	Non RNA-binding protein			
sll1652	-0,9193385394	Non RNA-binding protein			
ssl0453	-0,9199121865	Non RNA-binding protein			
slr1874	-0,9203229312	Non RNA-binding protein			
sll0735	-0,9211803377	Non RNA-binding protein			
ssl2595	-0,9214171934	Non RNA-binding protein			
slr5055	-0,922219291	Non RNA-binding protein			
slr5055	-0,922219291	Non RNA-binding protein			
slr0818	-0,922401739	Non RNA-binding protein			
slr0542	-0,9226968195	Non RNA-binding protein			
slr0878	-0,9234461652	Non RNA-binding protein			
slr0386	-0,9237927752	Non RNA-binding protein			
slr0061	-0,9239109557	Non RNA-binding protein			
sll1198	-0,9243466147	Non RNA-binding protein			
slr0770	-0,9245980368	Non RNA-binding protein			
slr1084	-0,9246474879	Non RNA-binding protein			
sll1683	-0,9264825584	Non RNA-binding protein			
slr1958	-0,9267442101	Non RNA-binding protein			
sll0860	-0,926991953	Non RNA-binding protein			
sll7062	-0,9270449192	Non RNA-binding protein			
sll7062	-0,9270449192	Non RNA-binding protein			
slr7076	-0,9277971824	Non RNA-binding protein			
slr7076	-0,9277971824	Non RNA-binding protein			
slr0319	-0,9289756737	Non RNA-binding protein			
sll0732	-0,9294270883	Non RNA-binding protein			
slr0525	-0,9296208045	Non RNA-binding protein			
slr1616	-0,9301740654	Non RNA-binding protein			
sll0314	-0,9303032225	Non RNA-binding protein			
slr0870	-0,9305232152	Non RNA-binding protein			
slr0302	-0,9316600643	Non RNA-binding protein			
slr2053	-0,9316794951	Non RNA-binding protein			
sll0666	-0,9320000574	Non RNA-binding protein			
slr0993	-0,9323423374	Non RNA-binding protein			
slr6034	-0,9324527452	Non RNA-binding protein			
slr6034	-0,9324527452	Non RNA-binding protein			
sll0019	-0,9324593047	Non RNA-binding protein			
sll1205	-0,9325614775	Non RNA-binding protein			
slr1910	-0,9327571939	Non RNA-binding protein			
sll7001	-0,9335162375	Non RNA-binding protein			
slr0798	-0,9344570158	Non RNA-binding protein			
sll0596	-0,9353693976	Non RNA-binding protein			
sll5032	-0,9355627081	Non RNA-binding protein			
sll5032	-0,9355627081	Non RNA-binding protein			
slr1862	-0,9358877354	Non RNA-binding protein			
sll1165	-0,9362292255	Non RNA-binding protein			
sll1709	-0,9363016875	Non RNA-binding protein			
slr0994	-0,9369571157	Non RNA-binding protein			
slr0482	-0,9369740435	Non RNA-binding protein			
ssl2420	-0,9378851005	Non RNA-binding protein			
slr6039	-0,9388299953	Non RNA-binding protein			
sll0923	-0,939025662	Non RNA-binding protein			
sll0400	-0,9395437641	Non RNA-binding protein			
sll5050	-0,9402262647	Non RNA-binding protein			
sll5050	-0,9402262647	Non RNA-binding protein			
slr1197	-0,9404193882	Non RNA-binding protein			
sll0782	-0,9413763957	Non RNA-binding protein			
sll0199	-0,9417319912	Non RNA-binding protein			
slr6039	-0,9422471571	Non RNA-binding protein			
sll0182	-0,9422603053	Non RNA-binding protein			
sll0743	-0,9425474398	Non RNA-binding protein			
slr0114	-0,9435793187	Non RNA-binding protein			
slr1628	-0,9442092411	Non RNA-binding protein			
slr1437	-0,94465276	Non RNA-binding protein			
slr0580	-0,9447486446	Non RNA-binding protein			
ssr5019	-0,9453904066	Non RNA-binding protein			
ssr5019	-0,9453904066	Non RNA-binding protein			
ssl5065	-0,9457080232	Non RNA-binding protein			
ssl5065	-0,9457080232	Non RNA-binding protein			
slr0662	-0,9462330273	Non RNA-binding protein			
sll7001	-0,9464356962	Non RNA-binding protein			
sll0204	-0,946696961	Non RNA-binding protein			
sll5033	-0,9472836528	Non RNA-binding protein			
sll5033	-0,9472836528	Non RNA-binding protein			
sll5034	-0,9474485869	Non RNA-binding protein			
sll5034	-0,9474485869	Non RNA-binding protein			
ssl5039	-0,9474495048	Non RNA-binding protein			
ssl5039	-0,9474495048	Non RNA-binding protein			
slr1428	-0,9477439582	Non RNA-binding protein			
slr2037	-0,9485584046	Non RNA-binding protein			
slr1591	-0,9495356301	Non RNA-binding protein			
sll1344	-0,9496881348	Non RNA-binding protein			
slr1593	-0,949732731	Non RNA-binding protein			
sll0660	-0,9501814731	Non RNA-binding protein			
sll1440	-0,9504021988	Non RNA-binding protein			
sll1381	-0,9507086075	Non RNA-binding protein			
slr1857	-0,9510334826	Non RNA-binding protein			
slr0529	-0,9511527082	Non RNA-binding protein			
slr0418	-0,9514572042	Non RNA-binding protein			
slr2143	-0,9522549682	Non RNA-binding protein			
sll0922	-0,9523869007	Non RNA-binding protein			
slr0721	-0,9525990542	Non RNA-binding protein			
ssr6020	-0,9527540416	Non RNA-binding protein			
ssr6079	-0,9527540416	Non RNA-binding protein			
ssr6020	-0,9527540416	Non RNA-binding protein			
ssr6079	-0,9527540416	Non RNA-binding protein			
slr1729	-0,9529463887	Non RNA-binding protein			
slr0835	-0,9544486523	Non RNA-binding protein			
slr0842	-0,9550329555	Non RNA-binding protein			
sll1071	-0,9554405167	Non RNA-binding protein			
sll1540	-0,9559903884	Non RNA-binding protein			
sll0317	-0,9563697204	Non RNA-binding protein			
slr0906	-0,9565783799	Non RNA-binding protein			
slr0209	-0,9576310277	Non RNA-binding protein			
ssl7039	-0,9585108916	Non RNA-binding protein			
ssl7039	-0,9585108916	Non RNA-binding protein			
ssl2162	-0,9588179768	Non RNA-binding protein			
sll1934	-0,9590289792	Non RNA-binding protein			
sll1694	-0,9591425869	Non RNA-binding protein			
ssr2708	-0,9594489925	Non RNA-binding protein			
slr0070	-0,9594647097	Non RNA-binding protein			
slr7026	-0,9595143633	Non RNA-binding protein			
slr7097	-0,9599482429	Non RNA-binding protein			
slr1793	-0,960036446	Non RNA-binding protein			
slr1263	-0,9606755472	Non RNA-binding protein			
sll0404	-0,9610185926	Non RNA-binding protein			
slr1940	-0,9613179987	Non RNA-binding protein			
slr1208	-0,9615035665	Non RNA-binding protein			
slr6110	-0,961739922	Non RNA-binding protein			
slr0406	-0,9624102547	Non RNA-binding protein			
sll0290	-0,9629471139	Non RNA-binding protein			
ssr0757	-0,9634290775	Non RNA-binding protein			
ssr6019	-0,9634802522	Non RNA-binding protein			
ssr6078	-0,9634802522	Non RNA-binding protein			
slr0051	-0,9648961793	Non RNA-binding protein			
ssr1768	-0,9651693776	Non RNA-binding protein			
slr7008	-0,9656399421	Non RNA-binding protein			
slr7008	-0,9656399421	Non RNA-binding protein			
slr1818	-0,9658799766	Non RNA-binding protein			
ssr6019	-0,9666666471	Non RNA-binding protein			
ssr6078	-0,9666666471	Non RNA-binding protein			
ssr2153	-0,9669613035	Non RNA-binding protein			
sll0869	-0,9684221536	Non RNA-binding protein			
slr1880	-0,9687027	Non RNA-binding protein			
slr0431	-0,9688715186	Non RNA-binding protein			
smr0003	-0,9692547298	Non RNA-binding protein			
slr0719	-0,9692786108	Non RNA-binding protein			
ssl2471	-0,9696893691	Non RNA-binding protein			
slr0445	-0,969733882	Non RNA-binding protein			
sll0493	-0,971008088	Non RNA-binding protein			
sll0080	-0,9715618474	Non RNA-binding protein			
sll0403	-0,9719984238	Non RNA-binding protein			
ssl5045	-0,9729597562	Non RNA-binding protein			
ssr3159	-0,9741374023	Non RNA-binding protein			
slr0262	-0,9753044668	Non RNA-binding protein			
sll0181	-0,9761725715	Non RNA-binding protein			
slr1643	-0,97641521	Non RNA-binding protein			
slr0111	-0,9764407628	Non RNA-binding protein			
ssl1417	-0,9766559184	Non RNA-binding protein			
sll1938	-0,9773147675	Non RNA-binding protein			
slr1280	-0,9775373385	Non RNA-binding protein			
slr0474	-0,9776037742	Non RNA-binding protein			
sll0441	-0,977994514	Non RNA-binding protein			
slr0757	-0,979848074	Non RNA-binding protein			
sll8004	-0,9798653233	Non RNA-binding protein			
sll8004	-0,9798653233	Non RNA-binding protein			
slr0348	-0,9804264362	Non RNA-binding protein			
slr0060	-0,9805869866	Non RNA-binding protein			
sll1086	-0,9820193487	Non RNA-binding protein			
slr0370	-0,9820890868	Non RNA-binding protein			
sll0629	-0,9826655458	Non RNA-binding protein			
slr1122	-0,9826973592	Non RNA-binding protein			
slr5116	-0,9828432316	Non RNA-binding protein			
ssr1251	-0,9831316763	Non RNA-binding protein			
slr1349	-0,9835133769	Non RNA-binding protein			
sll1062	-0,9839753575	Non RNA-binding protein			
sll1835	-0,9843281318	Non RNA-binding protein			
slr1241	-0,9843662164	Non RNA-binding protein			
slr1274	-0,9845464803	Non RNA-binding protein			
slr1468	-0,9863144981	Non RNA-binding protein			
sll0051	-0,9863285842	Non RNA-binding protein			
sll1315	-0,9882870247	Non RNA-binding protein			
sll1762	-0,9883736674	Non RNA-binding protein			
slr0306	-0,9884902166	Non RNA-binding protein			
slr1740	-0,989227444	Non RNA-binding protein			
ssl2920	-0,9892770607	Non RNA-binding protein			
ssr3184	-0,9915731867	Non RNA-binding protein			
ssl3549	-0,9916870927	Non RNA-binding protein			
sll0024	-0,9919483738	Non RNA-binding protein			
ssr3000	-0,9920570041	Non RNA-binding protein			
slr6106	-0,9925158265	Non RNA-binding protein			
slr1189	-0,9932979366	Non RNA-binding protein			
slr5056	-0,9937777385	Non RNA-binding protein			
slr5051	-0,994457244	Non RNA-binding protein			
slr5051	-0,994457244	Non RNA-binding protein			
slr0623	-0,9950378228	Non RNA-binding protein			
slr6110	-0,9951465626	Non RNA-binding protein			
slr0611	-0,9955174056	Non RNA-binding protein			
slr0479	-0,9993140497	Non RNA-binding protein			
slr7032	-0,9993225139	Non RNA-binding protein			
slr7032	-0,9993225139	Non RNA-binding protein			
slr0272	-0,9993534029	Non RNA-binding protein			
slr1376	-0,9993541833	Non RNA-binding protein			
slr2099	-0,999435162	Non RNA-binding protein			
slr1799	-0,9994875116	Non RNA-binding protein			
slr1962	-0,9996801056	Non RNA-binding protein			
ssr7093	-0,9997027022	Non RNA-binding protein			
ssr7093	-0,9997027022	Non RNA-binding protein			
sll0847	-0,9997298041	Non RNA-binding protein			
slr1896	-0,9997639506	Non RNA-binding protein			
slr1611	-0,9997736939	Non RNA-binding protein			
sll1893	-0,9997817347	Non RNA-binding protein			
slr5022	-0,9998268645	Non RNA-binding protein			
sll0800	-0,9998648921	Non RNA-binding protein			
ssr7079	-0,9998794825	Non RNA-binding protein			
ssr7079	-0,9998794825	Non RNA-binding protein			
slr1391	-0,9998853064	Non RNA-binding protein			
sll0031	-0,9998879661	Non RNA-binding protein			
sll1874	-0,9998951464	Non RNA-binding protein			
slr1767	-0,9998988996	Non RNA-binding protein			
sll0793	-0,9999006971	Non RNA-binding protein			
slr2103	-0,9999257937	Non RNA-binding protein			
slr1039	-0,9999271755	Non RNA-binding protein			
sll5089	-0,999939124	Non RNA-binding protein			
slr1508	-0,9999530451	Non RNA-binding protein			
sll0103	-0,999957153	Non RNA-binding protein			
sll0378	-0,9999753347	Non RNA-binding protein			
sll1450	-0,9999887811	Non RNA-binding protein			
sll1239	-1	Non RNA-binding protein			
slr0483	-1,2913848	Non RNA-binding protein			
sll0315	-1,12310852	Non RNA-binding protein			
ssl3573	-1,23082774	Non RNA-binding protein			
slr8022	-1,38908506	Non RNA-binding protein			
slr8022	-1,38908506	Non RNA-binding protein			
slr0505	-1,40479591	Non RNA-binding protein			
slr1938	-1,45378738	Non RNA-binding protein			
slr2079	-1,57041058	Non RNA-binding protein			
slr0756	-1,67335218	Non RNA-binding protein			
slr2082	-2,87247747	Non RNA-binding protein			
sll1283	-1,000070163	Non RNA-binding protein			
slr1415	-1,000192289	Non RNA-binding protein			
sll1621	-1,013445897	Non RNA-binding protein			
slr1385	-1,015587894	Non RNA-binding protein			
slr1804	-1,029767221	Non RNA-binding protein			
slr0084	-1,029850634	Non RNA-binding protein			
slr0902	-1,040120117	Non RNA-binding protein			
ssr1527	-1,040127917	Non RNA-binding protein			
slr0941	-1,049657653	Non RNA-binding protein			
sll0704	-1,052744398	Non RNA-binding protein			
ssl2065	-1,060773791	Non RNA-binding protein			
sll1400	-1,075278918	Non RNA-binding protein			
sll0142	-1,087756085	Non RNA-binding protein			
slr7096	-1,094016941	Non RNA-binding protein			
slr0739	-1,098267908	Non RNA-binding protein			
sll1156	-1,104744722	Non RNA-binding protein			
slr1118	-1,113616895	Non RNA-binding protein			
slr0509	-1,113890434	Non RNA-binding protein			
sll1869	-1,116147478	Non RNA-binding protein			
sll1862	-1,122496332	Non RNA-binding protein			
sll1185	-1,124650485	Non RNA-binding protein			
slr1494	-1,125770622	Non RNA-binding protein			
ssr0550	-1,126402032	Non RNA-binding protein			
slr1888	-1,127145604	Non RNA-binding protein			
slr1183	-1,127840501	Non RNA-binding protein			
slr0801	-1,131477819	Non RNA-binding protein			
sll0733	-1,136882895	Non RNA-binding protein			
slr1796	-1,138587436	Non RNA-binding protein			
slr0384	-1,156630738	Non RNA-binding protein			
slr1078	-1,165105787	Non RNA-binding protein			
sll0744	-1,172101239	Non RNA-binding protein			
sll1365	-1,176776949	Non RNA-binding protein			
slr1520	-1,177007465	Non RNA-binding protein			
ssl0352	-1,188017949	Non RNA-binding protein			
slr8038	-1,201672726	Non RNA-binding protein			
slr8038	-1,201672726	Non RNA-binding protein			
slr1295	-1,203291706	Non RNA-binding protein			
sll5061	-1,208966445	Non RNA-binding protein			
sll5061	-1,208966445	Non RNA-binding protein			
sll1890	-1,220513284	Non RNA-binding protein			
sll0749	-1,227237817	Non RNA-binding protein			
ssl5096	-1,235479128	Non RNA-binding protein			
ssl5096	-1,235479128	Non RNA-binding protein			
sll0274	-1,236238555	Non RNA-binding protein			
sll1831	-1,237329799	Non RNA-binding protein			
slr0926	-1,242499407	Non RNA-binding protein			
sll0606	-1,251955457	Non RNA-binding protein			
slr0354	-1,252595932	Non RNA-binding protein			
slr0929	-1,265584481	Non RNA-binding protein			
sll0858	-1,267282979	Non RNA-binding protein			
slr1546	-1,271562605	Non RNA-binding protein			
sll0427	-1,274128644	Non RNA-binding protein			
sll2009	-1,295444508	Non RNA-binding protein			
slr1886	-1,303188413	Non RNA-binding protein			
sll0067	-1,315318625	Non RNA-binding protein			
sll0220	-1,325985298	Non RNA-binding protein			
sll1468	-1,328850179	Non RNA-binding protein			
sll1123	-1,330697147	Non RNA-binding protein			
slr1290	-1,331592391	Non RNA-binding protein			
slr0169	-1,333652019	Non RNA-binding protein	CsoD1		
slr0217	-1,335359846	Non RNA-binding protein			
slr0492	-1,344844684	Non RNA-binding protein			
sll1388	-1,348700257	Non RNA-binding protein			
sll0595	-1,348761441	Non RNA-binding protein			
slr1600	-1,370183428	Non RNA-binding protein			
ssl2542	-1,385233587	Non RNA-binding protein			
sll1268	-1,386882228	Non RNA-binding protein			
ssl2148	-1,387029497	Non RNA-binding protein			
sll7027	-1,401597032	Non RNA-binding protein			
sll0532	-1,402716118	Non RNA-binding protein			
sll1166	-1,405887333	Non RNA-binding protein			
sll0254	-1,411809243	Non RNA-binding protein			
sll0814	-1,416328481	Non RNA-binding protein			
slr2070	-1,424676028	Non RNA-binding protein			
sll0283	-1,448518774	Non RNA-binding protein			
sll1383	-1,451991909	Non RNA-binding protein			
slr0820	-1,463402515	Non RNA-binding protein			
slr1044	-1,465933477	Non RNA-binding protein			
sll0007	-1,473667473	Non RNA-binding protein			
ssr1169	-1,485811245	Non RNA-binding protein			
sll1004	-1,491993204	Non RNA-binding protein			
sll1511	-1,496037243	Non RNA-binding protein			
slr1484	-1,497225569	Non RNA-binding protein			
sll1760	-1,498100367	Non RNA-binding protein			
slr0036	-1,508544148	Non RNA-binding protein			
slr1851	-1,517972824	Non RNA-binding protein			
sll1404	-1,520128217	Non RNA-binding protein			
slr1338	-1,552552692	Non RNA-binding protein			
sll0376	-1,563492941	Non RNA-binding protein			
slr1152	-1,564808563	Non RNA-binding protein			
ssr3550	-1,566292996	Non RNA-binding protein			
sll1666	-1,587987197	Non RNA-binding protein			
slr6013	-1,603108996	Non RNA-binding protein			
slr6072	-1,603108996	Non RNA-binding protein			
slr6013	-1,603108996	Non RNA-binding protein			
slr6072	-1,603108996	Non RNA-binding protein			
sll1570	-1,603998578	Non RNA-binding protein			
slr1490	-1,611784695	Non RNA-binding protein			
sll0943	-1,612294689	Non RNA-binding protein			
sll1477	-1,627374064	Non RNA-binding protein			
slr0940	-1,665647414	Non RNA-binding protein			
sll0588	-1,672431034	Non RNA-binding protein			
ssl0020	-1,673452044	Non RNA-binding protein			
sll1656	-1,681491687	Non RNA-binding protein			
slr0454	-1,690593711	Non RNA-binding protein			
slr5018	-1,716579123	Non RNA-binding protein			
slr5018	-1,716579123	Non RNA-binding protein			
slr1287	-1,732858037	Non RNA-binding protein			
slr1659	-1,737382678	Non RNA-binding protein			
sll1289	-1,746472331	Non RNA-binding protein			
ssr1499	-1,750646741	Non RNA-binding protein			
sll0261	-1,755502933	Non RNA-binding protein			
sll0837	-1,779470493	Non RNA-binding protein			
slr1452	-1,788335539	Non RNA-binding protein			
slr0299	-1,817370139	Non RNA-binding protein			
slr2016	-1,819238555	Non RNA-binding protein			
ssl2384	-1,839451995	Non RNA-binding protein			
ssr5121	-1,861666838	Non RNA-binding protein			
ssr5121	-1,861666838	Non RNA-binding protein			
sll0263	-1,863298775	Non RNA-binding protein			
sll8019	-1,869104001	Non RNA-binding protein			
sll1960	-1,881946664	Non RNA-binding protein			
sll1678	-1,883288185	Non RNA-binding protein			
sll0556	-1,887499316	Non RNA-binding protein			
slr1236	-1,909530993	Non RNA-binding protein			
sll0703	-1,916253917	Non RNA-binding protein			
ssr2047	-2,002583525	Non RNA-binding protein			
slr1869	-2,077428537	Non RNA-binding protein			
slr6045	-2,164775182	Non RNA-binding protein			
slr6045	-2,164775182	Non RNA-binding protein			
sll0428	-2,180217646	Non RNA-binding protein			
sll1755	-2,256314136	Non RNA-binding protein			
ssr0390	-2,264851186	Non RNA-binding protein			
slr0712	-2,271146911	Non RNA-binding protein			
sll1796	-2,277168022	Non RNA-binding protein			
sll0194	-2,309160016	Non RNA-binding protein			
sml0002	-2,349808992	Non RNA-binding protein			
smr0006	-2,383804206	Non RNA-binding protein			
sll0442	-2,504354307	Non RNA-binding protein			
sll0656	-2,550936674	Non RNA-binding protein			
sll0590	-2,650577718	Non RNA-binding protein			
sll1087	-2,749325372	Non RNA-binding protein			
slr0610	-2,756792585	Non RNA-binding protein			
slr2046	-3,060295377	Non RNA-binding protein			
slr1736	-3,120899476	Non RNA-binding protein			
slr0914	-3,163367744	Non RNA-binding protein			
slr1137	-3,298087848	Non RNA-binding protein			
sll0266	-1,0000342856	Non RNA-binding protein			
sll1969	-1,0000614974	Non RNA-binding protein			
slr1803	-1,0000723425	Non RNA-binding protein			
sll0664	-1,0000728437	Non RNA-binding protein			
slr1492	-1,0000865634	Non RNA-binding protein			
slr6106	-1,0001033383	Non RNA-binding protein			
slr1674	-1,0001319221	Non RNA-binding protein			
ssr1114	-1,0001399966	Non RNA-binding protein			
slr0534	-1,0001548736	Non RNA-binding protein			
ssl1911	-1,0001997891	Non RNA-binding protein			
sll7103	-1,0002099941	Non RNA-binding protein			
sll7103	-1,0002099941	Non RNA-binding protein			
slr1636	-1,0002253513	Non RNA-binding protein			
sll1222	-1,0002739982	Non RNA-binding protein			
slr0613	-1,0002797311	Non RNA-binding protein			
slr0723	-1,0002822428	Non RNA-binding protein			
sll6052	-1,0002845391	Non RNA-binding protein			
sll6052	-1,0002845391	Non RNA-binding protein			
slr0242	-1,0002888257	Non RNA-binding protein			
slr1661	-1,0003272924	Non RNA-binding protein			
slr0238	-1,0003562972	Non RNA-binding protein			
slr0711	-1,0004042875	Non RNA-binding protein			
slr5085	-1,0004054668	Non RNA-binding protein			
slr5085	-1,0004054668	Non RNA-binding protein			
slr0513	-1,0004086803	Non RNA-binding protein			
sll0436	-1,0004140717	Non RNA-binding protein			
slr1572	-1,0004852825	Non RNA-binding protein			
sll0887	-1,0005064823	Non RNA-binding protein			
sll1581	-1,0005180255	Non RNA-binding protein			
slr0333	-1,0005841117	Non RNA-binding protein			
slr0341	-1,0006356129	Non RNA-binding protein			
sll1429	-1,0008679501	Non RNA-binding protein			
slr1062	-1,0010702472	Non RNA-binding protein			
sll0602	-1,0026234889	Non RNA-binding protein			
slr1068	-1,0026336128	Non RNA-binding protein			
slr0630	-1,0028256461	Non RNA-binding protein			
slr0836	-1,0030463187	Non RNA-binding protein			
sll1382	-1,0033917618	Non RNA-binding protein			
slr5024	-1,0034985376	Non RNA-binding protein			
slr5024	-1,0034985376	Non RNA-binding protein			
ssl2982	-1,0036004745	Non RNA-binding protein			
ssr0817	-1,0036169521	Non RNA-binding protein			
sll0469	-1,0036339737	Non RNA-binding protein			
sll0072	-1,0038627499	Non RNA-binding protein			
sll1572	-1,0040760806	Non RNA-binding protein			
slr0943	-1,0044624108	Non RNA-binding protein			
slr1939	-1,0044667054	Non RNA-binding protein			
